"","date","unemp","infgap","ppi","infexp","cpi","s_shock"
"41","1967-03-31",3.8,-2.74806024270183,0,2.99077880846293,0.242718565761102,-1.36831368992478
"42","1967-06-30",3.9,-2.02966559837916,0.598804184462276,2.93464915037094,0.904983551991778,0.136603051253203
"43","1967-09-30",3.8,-2.13650781996853,-0.298953884836628,3.03337481824459,0.896866998276069,-1.01028377718961
"44","1967-12-31",3.8,-1.61267841824339,0.894193737566162,2.79612418294367,1.18344576470029,0.188279598675045
"45","1968-03-31",3.7,-1.89857010278531,1.17995469311549,2.77705305835856,0.878482955573245,-0.980497484477283
"46","1968-06-30",3.7,-1.95450410034589,0.292825977908873,3.11393737843783,1.15943327809194,0.193242942339289
"47","1968-09-30",3.4,-2.29693905727483,0.583092031079291,3.44308340917548,1.14614435190066,-0.902477083917042
"48","1968-12-31",3.4,-2.47993163592807,0.579711768432611,3.89438237454457,1.4144507386165,0.245000467035439
"49","1969-03-31",3.4,-2.84228373732284,1.71924005403725,4.23700648540785,1.39472274808501,-0.821245546236327
"50","1969-06-30",3.5,-3.17421194009749,1.4104606181542,4.54974944694603,1.37553750684853,0.245832602970886
"51","1969-09-30",3.7,-3.49603311354141,0.279720462106114,4.85290603414832,1.35687292060691,-0.790250092692446
"52","1969-12-31",3.5,-3.54211294106348,1.38698478641506,5.14642542512103,1.60431248405755,1.30862366443516
"53","1970-03-31",4.4,-3.85067883571142,1.09590137897198,5.42965900897494,1.57898017326352,-0.728286510400089
"54","1970-06-30",4.9,-4.33286195673279,0.543479598595686,5.62989700099554,1.29703504426275,-1.73415866198603
"55","1970-09-30",5.4,-4.73083330346165,0.54054185669079,5.75648332018055,1.0256500167189,-0.769567355872702
"56","1970-12-31",6.1,-4.22856522181949,0,5.74758177121699,1.5190165493975,-0.646781128962637
"57","1971-03-31",6,-5.16863661987371,1.86921330121526,5.66989080222816,0.501254182354449,0.104775625978704
"58","1971-06-30",5.9,-4.03445197936173,1.05264129869873,5.27670397921743,1.2422519998557,-0.678144618891174
"59","1971-09-30",6,-4.15143628098912,0.261438057407082,4.88944701075139,0.738010729762273,1.08723767672458
