"","date","spx","vix","spx_lag","vix_lag"
"1258",2015-03-18,0.0137673681584984,13.97,-0.0299043516216574,16.87
"1259",2015-03-25,0.00977402983346498,15.44,0.0137673681584984,13.97
"1260",2015-03-31,-0.0043237303521092,15.29,0.00977402983346498,15.44
"1261",2015-04-01,-0.00787888966195627,15.11,-0.0043237303521092,15.29
"1262",2015-04-15,0.0146012584456601,12.84,-0.00787888966195627,15.11
"1263",2015-04-22,0.000214508394428492,12.71,0.0146012584456601,12.84
"1264",2015-04-29,0.00677701153807653,13.39,0.000214508394428492,12.71
"1265",2015-04-30,-0.0032994239025983,14.55,0.00677701153807653,13.39
"1266",2015-05-06,-0.00677267373380441,15.15,-0.0032994239025983,14.55
"1267",2015-05-13,0.00399758996968314,13.76,-0.00677267373380441,15.15
"1268",2015-05-20,0.0134167135005383,12.88,0.00399758996968314,13.76
"1269",2015-05-29,-0.00335089459016169,13.84,0.0134167135005383,12.88
"1270",2015-06-03,-0.00472494412116986,13.66,-0.00335089459016169,13.84
"1271",2015-06-10,-0.0139862790433234,13.22,-0.00472494412116986,13.66
"1272",2015-06-17,0.00782271084800512,14.5,-0.0139862790433234,13.22
"1273",2015-06-24,0.0125154953752264,13.26,0.00782271084800512,14.5
"1274",2015-06-30,-0.029411626209592,18.23,0.0125154953752264,13.26
"1275",2015-07-01,0.0028187600366778,16.09,-0.029411626209592,18.23
"1276",2015-07-15,0.0203241412675377,13.23,0.0028187600366778,16.09
"1277",2015-07-22,0.00436223630992738,12.12,0.0203241412675377,13.23
"1278",2015-07-29,-0.011098993961883,12.5,0.00436223630992738,12.12
"1279",2015-07-31,0.00806798109514495,12.12,-0.011098993961883,12.5
"1280",2015-08-05,-0.00773347224853194,12.51,0.00806798109514495,12.12
"1281",2015-08-12,-0.00676285156566936,13.61,-0.00773347224853194,12.51
"1282",2015-08-19,0.00701071548700205,15.25,-0.00676285156566936,13.61
"1283",2015-08-26,-0.106380237535132,30.32,0.00701071548700205,15.25
"1284",2015-08-31,0.0608623681751435,28.43,-0.106380237535132,30.32
"1285",2015-09-02,-0.0353394774327664,26.09,0.0608623681751435,28.43
"1286",2015-09-16,0.0320894120593576,21.35,-0.0353394774327664,26.09
"1287",2015-09-23,-0.0175832398054621,22.13,0.0320894120593576,21.35
"1288",2015-09-30,-0.0288693110475288,24.5,-0.0175832398054621,22.13
"1289",2015-10-07,0.0504467077164386,18.4,-0.0288693110475288,24.5
"1290",2015-10-14,0.0107549663528961,18.03,0.0504467077164386,18.4
"1291",2015-10-21,0.0148777736741763,16.7,0.0107549663528961,18.03
"1292",2015-10-28,0.0162333351364907,14.33,0.0148777736741763,16.7
"1293",2015-10-30,0.0113816731833842,15.07,0.0162333351364907,14.33
"1294",2015-11-04,0.00985645933014356,15.51,0.0113816731833842,15.07
"1295",2015-11-11,-0.0128825926276889,16.06,0.00985645933014356,15.51
